,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
15448,India,Pakistan,Johannesburg,121,17,6,7.048543689320389,30.0,157
19904,New Zealand,India,Rajkot,70,70,10,8.4,49.0,196
40699,West Indies,England,London,124,4,1,6.413793103448276,22.0,125
40844,West Indies,England,Pallekele,101,57,10,9.61904761904762,57.0,179
33255,South Africa,Sri Lanka,Hambantota,158,2,7,8.033898305084746,46.0,163
19142,New Zealand,England,Wellington,100,53,9,8.955223880597014,49.0,196
13019,India,Australia,Melbourne,21,91,6,4.344827586206897,20.0,74
28881,Pakistan,West Indies,Trinidad,53,52,6,4.676470588235294,18.0,132
4429,Australia,South Africa,Johannesburg,110,28,5,7.173913043478261,39.0,166
31765,South Africa,New Zealand,Auckland,133,30,4,8.866666666666667,54.0,165
36428,Sri Lanka,New Zealand,Auckland,87,34,4,6.069767441860465,24.0,142
14975,India,New Zealand,Mount Maunganui,141,15,7,8.057142857142857,40.0,163
19944,New Zealand,India,Rajkot,141,33,8,9.724137931034482,58.0,196
1637,Australia,England,Sydney,58,73,9,7.404255319148936,41.0,195
34264,Sri Lanka,Australia,Melbourne,64,61,8,6.508474576271187,30.0,142
21746,New Zealand,Sri Lanka,Colombo,126,13,6,7.065420560747664,37.0,141
23003,Pakistan,Australia,Abu Dhabi,58,70,9,6.96,31.0,155
8750,England,Australia,Melbourne,42,89,8,8.129032258064516,41.0,130
24310,Pakistan,Bangladesh,Karachi,84,66,8,9.333333333333334,51.0,203
34631,Sri Lanka,Bangladesh,Chittagong,115,41,6,8.734177215189874,37.0,168
9205,England,Australia,Southampton,153,4,3,7.913793103448276,39.0,162
29847,South Africa,Australia,Johannesburg,104,49,9,8.788732394366198,45.0,201
8990,England,Australia,Southampton,47,75,9,6.266666666666667,36.0,145
41133,West Indies,India,Lauderhill,55,78,8,7.857142857142857,39.0,143
20010,New Zealand,Pakistan,Barbados,58,65,7,6.327272727272727,23.0,133
30913,South Africa,England,Chittagong,103,44,8,8.131578947368421,39.0,196
15178,India,New Zealand,Wellington,163,1,2,8.218487394957982,51.0,165
36593,Sri Lanka,New Zealand,Nottingham,53,80,8,7.95,39.0,158
19882,New Zealand,India,Rajkot,40,92,10,8.571428571428571,40.0,196
3236,Australia,Pakistan,Dubai,61,78,9,8.714285714285714,46.0,108
31609,South Africa,India,Nottingham,98,31,7,6.606741573033708,34.0,130
28458,Pakistan,Sri Lanka,Lahore,78,58,9,7.548387096774194,38.0,180
4411,Australia,South Africa,Johannesburg,93,34,5,6.488372093023256,23.0,166
32317,South Africa,Pakistan,Cape Town,88,59,9,8.655737704918034,48.0,192
26007,Pakistan,New Zealand,Abu Dhabi,90,40,7,6.75,42.0,148
1229,Australia,England,Manchester,41,87,9,7.454545454545454,37.0,145
484,Afghanistan,West Indies,Lucknow,96,36,5,6.857142857142857,30.0,147
15964,India,South Africa,Johannesburg,105,67,8,11.88679245283019,56.0,203
33420,South Africa,Sri Lanka,Johannesburg,108,13,2,6.05607476635514,31.0,113
24089,Pakistan,Australia,Perth,88,33,4,6.068965517241379,32.0,106
1956,Australia,India,Brisbane,156,19,6,9.267326732673268,65.0,158
22293,New Zealand,Sri Lanka,Pallekele,89,39,6,6.592592592592593,36.0,142
18522,New Zealand,England,Durban,114,30,5,7.6,53.0,164
19479,New Zealand,India,Auckland,130,36,7,9.285714285714286,46.0,203
